panel,location,lon,lat,value
b_pm25_episode,grid_23.40_112.00,112.0,23.4,16.471
b_pm25_episode,grid_23.40_112.20,112.2,23.4,19.521
b_pm25_episode,grid_23.40_112.40,112.4,23.4,19.521
b_pm25_episode,grid_23.40_112.60,112.6,23.4,23.087
b_pm25_episode,grid_23.40_112.80,112.8,23.4,23.087
b_pm25_episode,grid_23.40_113.00,113.0,23.4,28.158
b_pm25_episode,grid_23.40_113.20,113.2,23.4,28.158
b_pm25_episode,grid_23.40_113.40,113.4,23.4,18.508
b_pm25_episode,grid_23.40_113.60,113.6,23.4,18.508
b_pm25_episode,grid_23.40_113.80,113.8,23.4,18.508
b_pm25_episode,grid_23.40_114.00,114.0,23.4,11.717
b_pm25_episode,grid_23.40_114.20,114.2,23.4,14.258
b_pm25_episode,grid_23.40_114.40,114.4,23.4,14.258
b_pm25_episode,grid_23.40_114.60,114.6,23.4,16.292
b_pm25_episode,grid_23.40_114.80,114.8,23.4,16.292
b_pm25_episode,grid_23.40_115.00,115.0,23.4,14.4
b_pm25_episode,grid_23.40_115.20,115.2,23.4,14.4
b_pm25_episode,grid_23.40_115.40,115.4,23.4,15.896
b_pm25_episode,grid_23.40_115.60,115.6,23.4,15.896
b_pm25_episode,grid_23.60_112.00,112.0,23.6,16.471
b_pm25_episode,grid_23.60_112.20,112.2,23.6,19.521
b_pm25_episode,grid_23.60_112.40,112.4,23.6,19.521
b_pm25_episode,grid_23.60_112.60,112.6,23.6,23.087
b_pm25_episode,grid_23.60_112.80,112.8,23.6,23.087
b_pm25_episode,grid_23.60_113.00,113.0,23.6,28.158
b_pm25_episode,grid_23.60_113.20,113.2,23.6,28.158
b_pm25_episode,grid_23.60_113.40,113.4,23.6,18.508
b_pm25_episode,grid_23.60_113.60,113.6,23.6,18.508
b_pm25_episode,grid_23.60_113.80,113.8,23.6,18.508
b_pm25_episode,grid_23.60_114.00,114.0,23.6,11.717
b_pm25_episode,grid_23.60_114.20,114.2,23.6,14.258
b_pm25_episode,grid_23.60_114.40,114.4,23.6,14.258
b_pm25_episode,grid_23.60_114.60,114.6,23.6,16.292
b_pm25_episode,grid_23.60_114.80,114.8,23.6,16.292
